"Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:"
"Reproduction number","Rh",NA,"SOEI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"6 month test interval",NA,NA,NA,NA,NA,0.23,NA,NA,"Bayesian",NA,"We developed a compartmental stochastic model to simulate bTB within-herd transmission, fed it with epidemiological data from 22 herds (obtained from a previous work) and carried out parameter inference using Approximate Bayesian Computing methods We also estimated the “Within-herd transmission potential Number” (Rh), i.e. the average number of secondary cases generated by a single animal infected introduced into a totally susceptible herd, considering different scenarios depending on the frequency of controls. The median global values obtained for the transmission parameters were: for the transmission coefficient (β), 0.014 newly infected animals per infectious individual per day (i.e. 5.2 per year), for the rate at which infected individuals become infectious (α), 0.01 per day (equivalent to a latent period of 97 days)","Ciaravino et al., 2018","https://doi.org/10.1016/j.epidem.2018.01.003","AA"
"Reproduction number","Rh",NA,"SOEI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"1 year test interval",NA,NA,NA,NA,NA,0.82,NA,NA,"Bayesian",NA,"We developed a compartmental stochastic model to simulate bTB within-herd transmission, fed it with epidemiological data from 22 herds (obtained from a previous work) and carried out parameter inference using Approximate Bayesian Computing methods We also estimated the “Within-herd transmission potential Number” (Rh), i.e. the average number of secondary cases generated by a single animal infected introduced into a totally susceptible herd, considering different scenarios depending on the frequency of controls. The median global values obtained for the transmission parameters were: for the transmission coefficient (β), 0.014 newly infected animals per infectious individual per day (i.e. 5.2 per year), for the rate at which infected individuals become infectious (α), 0.01 per day (equivalent to a latent period of 97 days)","Ciaravino et al., 2018","https://doi.org/10.1016/j.epidem.2018.01.003","AA"
"Reproduction number","Rh",NA,"SOEI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"2 year rest interval",NA,NA,NA,NA,NA,2.01,NA,NA,"Bayesian",NA,"We developed a compartmental stochastic model to simulate bTB within-herd transmission, fed it with epidemiological data from 22 herds (obtained from a previous work) and carried out parameter inference using Approximate Bayesian Computing methods We also estimated the “Within-herd transmission potential Number” (Rh), i.e. the average number of secondary cases generated by a single animal infected introduced into a totally susceptible herd, considering different scenarios depending on the frequency of controls. The median global values obtained for the transmission parameters were: for the transmission coefficient (β), 0.014 newly infected animals per infectious individual per day (i.e. 5.2 per year), for the rate at which infected individuals become infectious (α), 0.01 per day (equivalent to a latent period of 97 days)","Ciaravino et al., 2018","https://doi.org/10.1016/j.epidem.2018.01.003","AA"
"Reproduction number","Rh",NA,"SOEI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"4 year test interval",NA,NA,NA,NA,NA,3.47,NA,NA,"Bayesian",NA,"We developed a compartmental stochastic model to simulate bTB within-herd transmission, fed it with epidemiological data from 22 herds (obtained from a previous work) and carried out parameter inference using Approximate Bayesian Computing methods We also estimated the “Within-herd transmission potential Number” (Rh), i.e. the average number of secondary cases generated by a single animal infected introduced into a totally susceptible herd, considering different scenarios depending on the frequency of controls. The median global values obtained for the transmission parameters were: for the transmission coefficient (β), 0.014 newly infected animals per infectious individual per day (i.e. 5.2 per year), for the rate at which infected individuals become infectious (α), 0.01 per day (equivalent to a latent period of 97 days)","Ciaravino et al., 2018","https://doi.org/10.1016/j.epidem.2018.01.003","AA"
"Transmission parameter",NA,NA,"SLI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"inside",NA,NA,NA,NA,NA,0.43,0.16,0.84,NA,NA,"The objective of this work was to design and calibrate a model of the within-herd transmission of bTB. The proposed model is a stochastic model operating in discrete-time. Three health states were distinguished: susceptible, latent and infected. Dairy and beef herd dynamics and bTB detection and control programs were explicitly represented. Approximate Bayesian computation was used to estimate three model parameters from field data: the transmission parameter when animals are inside (βinside) and outside (βoutside) buildings, and the duration of the latent phase.","Bekara et al., 2014","https://doi.org/10.1371/journal.pone.0108584","AA"
"Transmission parameter",NA,NA,"SLI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"outside",NA,NA,NA,NA,NA,0.08,0.01,0.32,NA,NA,"The objective of this work was to design and calibrate a model of the within-herd transmission of bTB. The proposed model is a stochastic model operating in discrete-time. Three health states were distinguished: susceptible, latent and infected. Dairy and beef herd dynamics and bTB detection and control programs were explicitly represented. Approximate Bayesian computation was used to estimate three model parameters from field data: the transmission parameter when animals are inside (βinside) and outside (βoutside) buildings, and the duration of the latent phase.","Bekara et al., 2014","https://doi.org/10.1371/journal.pone.0108584","AA"
"Reproduction number","Effective Reproduction Number",NA,"SLI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"beef herds",NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,"The objective of this work was to design and calibrate a model of the within-herd transmission of bTB. The proposed model is a stochastic model operating in discrete-time. Three health states were distinguished: susceptible, latent and infected. Dairy and beef herd dynamics and bTB detection and control programs were explicitly represented. Approximate Bayesian computation was used to estimate three model parameters from field data: the transmission parameter when animals are inside (βinside) and outside (βoutside) buildings, and the duration of the latent phase.","Bekara et al., 2014","https://doi.org/10.1371/journal.pone.0108584","AA"
"Reproduction number","Effective Reproduction Number",NA,"SLI",NA,"Observational","Bovine Tuberculosis",NA,"Cattle",NA,"dairy herds",NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,"The objective of this work was to design and calibrate a model of the within-herd transmission of bTB. The proposed model is a stochastic model operating in discrete-time. Three health states were distinguished: susceptible, latent and infected. Dairy and beef herd dynamics and bTB detection and control programs were explicitly represented. Approximate Bayesian computation was used to estimate three model parameters from field data: the transmission parameter when animals are inside (βinside) and outside (βoutside) buildings, and the duration of the latent phase.","Bekara et al., 2014","https://doi.org/10.1371/journal.pone.0108584","AA"
"Basic reproduction number",NA,NA,NA,NA,"Experimental Stable","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,"endemic",NA,NA,NA,1.14,NA,NA,NA,NA,"[These values are derived from de Jong MCM, et al. Am J Vet Res 1996;57, 628-633 PMID:8723872, but I was not able to access this publication, but got this value from Chase, 2021 (https://doi.org/10.21423/aabppro20218160) where it is reported and referenced in table 1]","Chase, 2021","https://doi.org/10.21423/aabppro20218160","AA"
"Basic reproduction number",NA,NA,NA,NA,"Experimental Stable","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,"naïve",NA,NA,NA,36.5,NA,NA,NA,NA,"[These values are derived from de Jong MCM, et al. Am J Vet Res 1996;57, 628-633 PMID:8723872, but I was not able to access this publication, but got this value from Chase, 2021 (https://doi.org/10.21423/aabppro20218160) where it is reported and referenced in table 1]","Chase, 2021","https://doi.org/10.21423/aabppro20218160","AA"
"Basic reproduction number",NA,NA,NA,NA,"Observational","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.8036,NA,NA,NA,NA,"these values appear to be largely theoretical for simulation purposes. R0 values are based on differing ψ values","Greenhalgh and Griffiths, 2009","https://doi.org/10.1016/j.mbs.2009.08.003","AA"
"Basic reproduction number",NA,NA,NA,NA,"Observational","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.9167,NA,NA,NA,NA,"these values appear to be largely theoretical for simulation purposes. R0 values are based on differing ψ values","Greenhalgh and Griffiths, 2009","https://doi.org/10.1016/j.mbs.2009.08.003","AA"
"Basic reproduction number",NA,NA,NA,NA,"Observational","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.075,NA,NA,NA,NA,"these values appear to be largely theoretical for simulation purposes. R0 values are based on differing ψ values","Greenhalgh and Griffiths, 2009","https://doi.org/10.1016/j.mbs.2009.08.003","AA"
"Basic reproduction number",NA,NA,NA,NA,"Observational","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.3125,NA,NA,NA,NA,"these values appear to be largely theoretical for simulation purposes. R0 values are based on differing ψ values","Greenhalgh and Griffiths, 2009","https://doi.org/10.1016/j.mbs.2009.08.003","AA"
"Basic reproduction number",NA,NA,NA,NA,"Observational","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,1.7083,NA,NA,NA,NA,"these values appear to be largely theoretical for simulation purposes. R0 values are based on differing ψ values","Greenhalgh and Griffiths, 2009","https://doi.org/10.1016/j.mbs.2009.08.003","AA"
"Basic reproduction number",NA,NA,NA,NA,"Observational","Bovine Respiratory Syncytial Virus",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,2.025,NA,NA,NA,NA,"these values appear to be largely theoretical for simulation purposes. R0 values are based on differing ψ values","Greenhalgh and Griffiths, 2009","https://doi.org/10.1016/j.mbs.2009.08.003","AA"
