"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"175","Sensitivity","PCR","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.9883,0.9661,0.9976,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","Wernicke and Beer, 2024","https://doi.org/10.1016/j.vetmic.2024.109985","AA"
"176","Specificity","PCR","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.7451,0.6795,0.8034,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","Wernicke and Beer, 2024","https://doi.org/10.1016/j.vetmic.2024.109985","AA"
"177","Sensitivity","Virus Isolation in Cell Culture","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.2273,0.1147,0.3784,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","Wernicke and Beer, 2024","https://doi.org/10.1016/j.vetmic.2024.109985","AA"
"178","Specificity","Virus Isolation in Cell Culture","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.619,0.4564,0.7643,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","Wernicke and Beer, 2024","https://doi.org/10.1016/j.vetmic.2024.109985","AA"
"179","Sensitivity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",1,0.9562,1,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","Wernicke and Beer, 2024","https://doi.org/10.1016/j.vetmic.2024.109985","AA"
"180","Specificity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",1,0.9562,1,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","Wernicke and Beer, 2024","https://doi.org/10.1016/j.vetmic.2024.109985","AA"
"181","Sensitivity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle","Dairy",NA,NA,NA,NA,"Herd level sensitivity",1,NA,NA,"Derived from https://ca.idexx.com/pdf/en_ca/livestock-poultry/bvdv-p80-ab-insert.pdf listed in larger study examining herd level prevalence of vet pathogens in UK dairy herds","Velasova et al., 2017","https://doi.org/10.3168/jds.2016-11863","AA"
"182","Specificity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle","Dairy",NA,NA,NA,NA,"Herd level specificity",1,NA,NA,"Derived from https://ca.idexx.com/pdf/en_ca/livestock-poultry/bvdv-p80-ab-insert.pdf listed in larger study examining herd level prevalence of vet pathogens in UK dairy herds","Velasova et al., 2017","https://doi.org/10.3168/jds.2016-11863","AA"
"183","Sensitivity","Sandwich Hybridisation","Campylobacter","Poultry",NA,NA,NA,NA,"Manufacturer Claim","Food",0.93,NA,NA,"Detection of Campylobacter spp. and Enterobacter Sakazakii in Food with a New Test Kit System","Fabienke and Siegrist","https://www.sigmaaldrich.com/BE/en/technical-documents/technical-article/microbiological-testing/pathogen-and-spoilage-testing/detection-of-campylobacter","AA"
"184","Specificity","Sandwich Hybridisation","Campylobacter","Poultry",NA,NA,NA,NA,"Manufacturer Claim","Food",0.975,NA,NA,"Detection of Campylobacter spp. and Enterobacter Sakazakii in Food with a New Test Kit System","Fabienke and Siegrist","https://www.sigmaaldrich.com/BE/en/technical-documents/technical-article/microbiological-testing/pathogen-and-spoilage-testing/detection-of-campylobacter","AA"
"185","Sensitivity","Culture (PB)","Campylobacter","Poultry",NA,NA,NA,NA,"Comparative","Pooled caecal samples",0.515,NA,NA,"Comparison of various culture methods with or without enrichment/resucitation and RT-PCR assay for detecting Campylobacter in UK broilers","Rodgers et al., 2017","10.1111/zph.12306","AA"
"186","Sensitivity","Culture (AEB)","Campylobacter","Poultry",NA,NA,NA,NA,"Comparative","Pooled caecal samples",1,NA,NA,"Comparison of various culture methods with or without enrichment/resucitation and RT-PCR assay for detecting Campylobacter in UK broilers","Rodgers et al., 2017","10.1111/zph.12306","AA"
"187","Sensitivity","RT-PCR","Campylobacter","Poultry",NA,NA,NA,NA,"Comparative","Pooled caecal samples",0.8,NA,NA,"Comparison of various culture methods with or without enrichment/resucitation and RT-PCR assay for detecting Campylobacter in UK broilers","Rodgers et al., 2017","10.1111/zph.12306","AA"
"188","Sensitivity","PCR","Campylobacter","Poultry",NA,NA,NA,"cdtA","Comparative","Archived cultures",0.918,NA,NA,"This study examined the sensitivity and specificity of 12 PCR assays targeting 23S rRNA, ceuE, lpxA, hipO, mapA, ask, and cdt genes of C. jejuni and C. coli. The sensitivities of PCR assays were 85.2–100%, and 97–100%, and the specificities were 90.5–100%, and 94.3–100% for the tested C. jejuni (n = 61) and C. coli (n = 33) strains, respectively. Two PCR assays, targeting cdtC and hipO genes, were found to be 100% sensitive and/or specific for all C. jejuni strains, while 3 assays, targeting cdtB, cdtA, and ask genes, were 100% sensitive and/or specific for C. coli strains. However, PCR assays for hipO and ask genes are problematic to conduct simultaneously due to the differences in PCR conditions. Overall, multiplex PCR assays targeting cdtC and cdtB genes, encoding 2 subunits of the same toxin, were concluded to be the most reliable.","Lutful Kabir et al., 2019","https://doi.org/10.7883/yoken.JJID.2018.340","AA"
"189","Sensitivity","PCR","Campylobacter","Poultry",NA,NA,NA,"cdtB","Comparative","Archived cultures",0.934,NA,NA,"This study examined the sensitivity and specificity of 12 PCR assays targeting 23S rRNA, ceuE, lpxA, hipO, mapA, ask, and cdt genes of C. jejuni and C. coli. The sensitivities of PCR assays were 85.2–100%, and 97–100%, and the specificities were 90.5–100%, and 94.3–100% for the tested C. jejuni (n = 61) and C. coli (n = 33) strains, respectively. Two PCR assays, targeting cdtC and hipO genes, were found to be 100% sensitive and/or specific for all C. jejuni strains, while 3 assays, targeting cdtB, cdtA, and ask genes, were 100% sensitive and/or specific for C. coli strains. However, PCR assays for hipO and ask genes are problematic to conduct simultaneously due to the differences in PCR conditions. Overall, multiplex PCR assays targeting cdtC and cdtB genes, encoding 2 subunits of the same toxin, were concluded to be the most reliable.","Lutful Kabir et al., 2019","https://doi.org/10.7883/yoken.JJID.2018.340","AA"
"190","Sensitivity","PCR","Campylobacter","Poultry",NA,NA,NA,"cdtC",NA,NA,1,NA,NA,"This study examined the sensitivity and specificity of 12 PCR assays targeting 23S rRNA, ceuE, lpxA, hipO, mapA, ask, and cdt genes of C. jejuni and C. coli. The sensitivities of PCR assays were 85.2–100%, and 97–100%, and the specificities were 90.5–100%, and 94.3–100% for the tested C. jejuni (n = 61) and C. coli (n = 33) strains, respectively. Two PCR assays, targeting cdtC and hipO genes, were found to be 100% sensitive and/or specific for all C. jejuni strains, while 3 assays, targeting cdtB, cdtA, and ask genes, were 100% sensitive and/or specific for C. coli strains. However, PCR assays for hipO and ask genes are problematic to conduct simultaneously due to the differences in PCR conditions. Overall, multiplex PCR assays targeting cdtC and cdtB genes, encoding 2 subunits of the same toxin, were concluded to be the most reliable.","Lutful Kabir et al., 2019","https://doi.org/10.7883/yoken.JJID.2018.340","AA"
"191","Sensitivity","PCR","Campylobacter","Poultry",NA,NA,NA,"23S rRNA",NA,NA,0.967,NA,NA,"This study examined the sensitivity and specificity of 12 PCR assays targeting 23S rRNA, ceuE, lpxA, hipO, mapA, ask, and cdt genes of C. jejuni and C. coli. The sensitivities of PCR assays were 85.2–100%, and 97–100%, and the specificities were 90.5–100%, and 94.3–100% for the tested C. jejuni (n = 61) and C. coli (n = 33) strains, respectively. Two PCR assays, targeting cdtC and hipO genes, were found to be 100% sensitive and/or specific for all C. jejuni strains, while 3 assays, targeting cdtB, cdtA, and ask genes, were 100% sensitive and/or specific for C. coli strains. However, PCR assays for hipO and ask genes are problematic to conduct simultaneously due to the differences in PCR conditions. Overall, multiplex PCR assays targeting cdtC and cdtB genes, encoding 2 subunits of the same toxin, were concluded to be the most reliable.","Lutful Kabir et al., 2019","https://doi.org/10.7883/yoken.JJID.2018.340","AA"
"192","Sensitivity","PCR","Campylobacter","Poultry",NA,NA,NA,"ceuE",NA,NA,0.852,NA,NA,"This study examined the sensitivity and specificity of 12 PCR assays targeting 23S rRNA, ceuE, lpxA, hipO, mapA, ask, and cdt genes of C. jejuni and C. coli. The sensitivities of PCR assays were 85.2–100%, and 97–100%, and the specificities were 90.5–100%, and 94.3–100% for the tested C. jejuni (n = 61) and C. coli (n = 33) strains, respectively. Two PCR assays, targeting cdtC and hipO genes, were found to be 100% sensitive and/or specific for all C. jejuni strains, while 3 assays, targeting cdtB, cdtA, and ask genes, were 100% sensitive and/or specific for C. coli strains. However, PCR assays for hipO and ask genes are problematic to conduct simultaneously due to the differences in PCR conditions. Overall, multiplex PCR assays targeting cdtC and cdtB genes, encoding 2 subunits of the same toxin, were concluded to be the most reliable.","Lutful Kabir et al., 2019","https://doi.org/10.7883/yoken.JJID.2018.340","AA"
"193","Sensitivity","PCR","Campylobacter","Poultry",NA,NA,NA,"hipO",NA,NA,1,NA,NA,"This study examined the sensitivity and specificity of 12 PCR assays targeting 23S rRNA, ceuE, lpxA, hipO, mapA, ask, and cdt genes of C. jejuni and C. coli. The sensitivities of PCR assays were 85.2–100%, and 97–100%, and the specificities were 90.5–100%, and 94.3–100% for the tested C. jejuni (n = 61) and C. coli (n = 33) strains, respectively. Two PCR assays, targeting cdtC and hipO genes, were found to be 100% sensitive and/or specific for all C. jejuni strains, while 3 assays, targeting cdtB, cdtA, and ask genes, were 100% sensitive and/or specific for C. coli strains. However, PCR assays for hipO and ask genes are problematic to conduct simultaneously due to the differences in PCR conditions. Overall, multiplex PCR assays targeting cdtC and cdtB genes, encoding 2 subunits of the same toxin, were concluded to be the most reliable.","Lutful Kabir et al., 2019","https://doi.org/10.7883/yoken.JJID.2018.340","AA"
