"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Layers, Broilers",NA,NA,NA,NA,NA,NA,3.17,2.01,5,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,3.17,"Transmission","Transmission*342"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,2.18,1.94,2.46,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.18,"Transmission","Transmission*343"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,2.31,2.05,2.6,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.31,"Transmission","Transmission*344"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,2.26,1.88,2.72,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.26,"Transmission","Transmission*345"
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N1","Chickens","Backyard chickens, fighting cocks",NA,NA,NA,NA,NA,NA,2.4,1.71,3.36,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1086/522007","doi_invalid",2026-06-25,"Tiensin et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.4,"Transmission","Transmission*346"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H7N7 (A/Chicken/Netherlands/621557/03)","Chickens","SPF","White leghorn","Six weeks",NA,"No","No",NA,208,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1073/pnas.0505098102","doi_invalid",2026-06-25,"van der Goot et al., 2005",2005,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,208,"Transmission","Transmission*347"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,"No","No",NA,9,1.9,86,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.ppat.1000281","doi_invalid",2026-06-25,"Bouma et al., 2009",2009,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,9,"Transmission","Transmission*348"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,"No","No",NA,3.4,1.3,7.6,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.ppat.1000281","doi_invalid",2026-06-25,"Bouma et al., 2009",2009,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,3.4,"Transmission","Transmission*349"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,"No","No",NA,1.7,0.4,6.6,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.ppat.1000281","doi_invalid",2026-06-25,"Bouma et al., 2009",2009,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.7,"Transmission","Transmission*350"
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,"No","No",NA,1.2,0.37,2.9,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.ppat.1000281","doi_invalid",2026-06-25,"Bouma et al., 2009",2009,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.2,"Transmission","Transmission*351"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,"No","No",NA,2,0.96,3.6,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.ppat.1000281","doi_invalid",2026-06-25,"Bouma et al., 2009",2009,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2,"Transmission","Transmission*352"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H5N1 (A/Chicken/Legok/2003)","Chickens","SPF Chicken layers",NA,"Four weeks",NA,"No","No",NA,0.99,0.38,2.1,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.ppat.1000281","doi_invalid",2026-06-25,"Bouma et al., 2009",2009,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.99,"Transmission","Transmission*353"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H7N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2007.04.017","doi_invalid",2026-06-25,"Mannelli et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.8,"Transmission","Transmission*354"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H7N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2007.04.017","doi_invalid",2026-06-25,"Mannelli et al., 2007",2007,"Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.5,"Transmission","Transmission*355"
"Basic reproduction number",NA,"Dimensionless","SLIR","Density","Between-tambon","Field","Avian Influenza","HPAI H5N1","Chickens, Ducks, Geese",NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,"Frequentist","Reconstruction of the epidemic tree","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rsif.2012.0022","doi_invalid",2026-06-25,"Walker et al., 2012",2012,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.2,"Transmission","Transmission*356"
"Basic reproduction number",NA,"Dimensionless","SLIR","Density","Between-tambon","Field","Avian Influenza","HPAI H5N1","Chickens, Ducks, Geese",NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,"Frequentist","Reconstruction of the epidemic tree","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rsif.2012.0022","doi_invalid",2026-06-25,"Walker et al., 2012",2012,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.6,"Transmission","Transmission*357"
"Basic reproduction number",NA,"Dimensionless","SLIR","Density","Between-tambon","Field","Avian Influenza","HPAI H5N1","Chickens, Ducks, Geese",NA,NA,NA,NA,NA,NA,NA,1.63,NA,NA,"Frequentist","Reconstruction of the epidemic tree","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1098/rsif.2012.0022","doi_invalid",2026-06-25,"Walker et al., 2012",2012,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,1.63,"Transmission","Transmission*358"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.95,"Transmission","Transmission*359"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.74,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.74,"Transmission","Transmission*360"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.94,"Transmission","Transmission*361"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,3.23,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,3.23,"Transmission","Transmission*362"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.94,"Transmission","Transmission*363"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,3.32,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,3.32,"Transmission","Transmission*364"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.98,"Transmission","Transmission*365"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.48,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.48,"Transmission","Transmission*366"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.97,"Transmission","Transmission*367"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.94,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.94,"Transmission","Transmission*368"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.97,"Transmission","Transmission*369"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.98,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,2.98,"Transmission","Transmission*370"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.79,"Transmission","Transmission*371"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,8.17,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,8.17,"Transmission","Transmission*372"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.67,"Transmission","Transmission*373"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,11.2,"Transmission","Transmission*374"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,0.67,"Transmission","Transmission*375"
"Basic reproduction number",NA,"Dimensionless","SIRS","Density","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,"Bayesian","ABC","Parameters extracted from supplementary materials Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1038/s41598-017-06244-6","doi_invalid",2026-06-25,"Delabouglise et al., 2017",2017,"Timothee Vergne & Alistair Antonopoulos & Sebastien Lambert",2025-08-28,11.5,"Transmission","Transmission*376"
