"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Sensitivity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.944,0.898,0.987,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","10.1016/j.prevetmed.2018.03.008","doi_invalid",2026-06-25,"Toftaker et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,0.944,"DiagnosticTest","DiagnosticTest*164"
"Sensitivity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.998,0.987,1,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","10.1016/j.prevetmed.2018.03.008","doi_invalid",2026-06-25,"Toftaker et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,0.998,"DiagnosticTest","DiagnosticTest*165"
"Specificity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.574,0.505,0.644,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","10.1016/j.prevetmed.2018.03.008","doi_invalid",2026-06-25,"Toftaker et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,0.574,"DiagnosticTest","DiagnosticTest*166"
"Specificity","ELISA Ab","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Comparative","Bulk Milk Tank",0.906,0.855,0.944,"he objective of this study was to estimate sensitivity and specificity across different cut-off values for the MVD-Enferplex BCV/Bovine Respiratory Syncytial Virus multiplex, by comparing them to a commercially available ELISA, the SVANOVIR® BCV-Ab and SVANOVIR® Bovine Respiratory Syncytial Virus-Ab, respectively. We analyzed bulk tank milk samples from 360 herds in a low- and 360 herds in a high-prevalence area. As none of the tests were considered perfect, estimation of test characteristics was performed using Bayesian latent class models. At the manufacturers’ recommended cut-off values, the median sensitivity for the Bovine Respiratory Syncytial Virus multiplex and the Bovine Respiratory Syncytial Virus ELISA was 94.4 [89.8–98.7 95% Posterior Credibility Interval (PCI)] and 99.8 [98.7–100 95% PCI], respectively. The median specificity for the Bovine Respiratory Syncytial Virus multiplex was 90.6 [85.5–94.4 95% PCI], but only 57.4 [50.5–64.4 95% PCI] for the Bovine Respiratory Syncytial Virus ELISA.","10.1016/j.prevetmed.2018.03.008","doi_invalid",2026-06-25,"Toftaker et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,0.906,"DiagnosticTest","DiagnosticTest*167"
"Sensitivity","RT-PCR","Bovine Respiratory Syncytial Virus","Cattle",NA,NA,NA,NA,"Experimental","Tracheal Aspiration Sample",0.993,NA,NA,"twenty Bovine Respiratory Syncytial Virus strains and 14 heterologous bovine viruses were used to check the kit's sensitivity and specificity. The efficiency and detection limit of the kit were determined by testing dilution series of a Bovine Respiratory Syncytial Virus strain. The comparison between real-time RT-PCR kit and FAT was performed with 94 clinical samples from calves with clinical signs of respiratory disease including lung tissues (n = 55), transtracheal aspiration samples (n = 20), and nasal swab samples (n = 19). All of the Bovine Respiratory Syncytial Virus strains tested were detected by real-time RT-PCR. No cross-reaction was shown with the 14 heterologous bovine viruses.","10.1177/104063871002200211","doi_invalid",2026-06-25,"Timsit et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,0.993,"DiagnosticTest","DiagnosticTest*168"
"Sensitivity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.93,0.987,NA,"10.1016/j.prevetmed.2018.07.008","doi_invalid",2026-06-25,"Hanon et al., 2018",2018,"Natalia Ciria",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*169"
"Specificity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.946,0.991,NA,"10.1016/j.prevetmed.2018.07.009","doi_invalid",2026-06-25,"El Damaty et al., 2018",2018,"Natalia Ciria",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*170"
"Sensitivity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Milk (individual)",NA,0.913,0.967,NA,"10.1016/j.prevetmed.2018.07.010","doi_invalid",2026-06-25,"Olsen et al., 2018",2018,"Natalia Ciria",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*171"
"Specificity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Milk (individual)",NA,0.94,1,NA,"10.1016/j.prevetmed.2018.07.011","doi_invalid",2026-06-25,"Yahiaoui et al., 2018",2018,"Natalia Ciria",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*172"
"Sensitivity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.97,1,NA,"10.1016/j.prevetmed.2005.08.005","doi_invalid",2026-06-25,"Mars et al., 2005",2005,"Natalia Ciria",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*173"
"Specificity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.99,0.995,NA,"10.1016/j.prevetmed.2005.08.006","doi_invalid",2026-06-25,"Uttenthal et al., 2005",2005,"Natalia Ciria",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*174"
"Sensitivity","PCR","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.9883,0.9661,0.9976,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","10.1016/j.vetmic.2024.109985","doi_invalid",2026-06-25,"Wernike et al., 2024",2024,"Alistair Antonopoulos",2025-08-28,0.9883,"DiagnosticTest","DiagnosticTest*175"
"Specificity","PCR","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.7451,0.6795,0.8034,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","10.1016/j.vetmic.2024.109985","doi_invalid",2026-06-25,"Wernike et al., 2024",2024,"Alistair Antonopoulos",2025-08-28,0.7451,"DiagnosticTest","DiagnosticTest*176"
"Sensitivity","Virus Isolation in Cell Culture","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.2273,0.1147,0.3784,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","10.1016/j.vetmic.2024.109985","doi_invalid",2026-06-25,"Wernike et al., 2024",2024,"Alistair Antonopoulos",2025-08-28,0.2273,"DiagnosticTest","DiagnosticTest*177"
"Specificity","Virus Isolation in Cell Culture","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",0.619,0.4564,0.7643,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","10.1016/j.vetmic.2024.109985","doi_invalid",2026-06-25,"Wernike et al., 2024",2024,"Alistair Antonopoulos",2025-08-28,0.619,"DiagnosticTest","DiagnosticTest*178"
"Sensitivity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",1,0.9562,1,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","10.1016/j.vetmic.2024.109985","doi_invalid",2026-06-25,"Wernike et al., 2024",2024,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*179"
"Specificity","ELISA Ag","Bovine Viral Diarrhoea Virus","Cattle",NA,NA,NA,NA,NA,"Ear notch samples",1,0.9562,1,"Four ear notch samples and four sera were provided to the participating veterinary diagnostic laboratories (n = 40). Two of the ear notches and two sera contained Bovine Viral Diarrhoea VirusV and two ear notches and one serum were negative for pestiviruses. The remaining serum was positive for the ovine border disease virus (BDV). The sample panel was analyzed by an ERNS-based ELISA for antigen detection, diverse real-time RT-PCR (RT-qPCR) assays and/or virus isolation.","10.1016/j.vetmic.2024.109985","doi_invalid",2026-06-25,"Wernike et al., 2024",2024,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*180"
"Sensitivity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle","Dairy",NA,NA,NA,NA,"Herd level sensitivity",1,NA,NA,"Derived from https://ca.idexx.com/pdf/en_ca/livestock-poultry/bvdv-p80-ab-insert.pdf listed in larger study examining herd level prevalence of vet pathogens in UK dairy herds","10.3168/jds.2016-11863","doi_invalid",2026-06-25,"Velasova et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*181"
"Specificity","ELISA Ab","Bovine Viral Diarrhoea Virus","Cattle","Dairy",NA,NA,NA,NA,"Herd level specificity",1,NA,NA,"Derived from https://ca.idexx.com/pdf/en_ca/livestock-poultry/bvdv-p80-ab-insert.pdf listed in larger study examining herd level prevalence of vet pathogens in UK dairy herds","10.3168/jds.2016-11863","doi_invalid",2026-06-25,"Velasova et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*182"
"Sensitivity","Sandwich Hybridisation","Campylobacter","Poultry",NA,NA,NA,NA,"Manufacturer Claim","Food",0.93,NA,NA,"Detection of Campylobacter spp. and Enterobacter Sakazakii in Food with a New Test Kit System","https://www.sigmaaldrich.com/BE/en/technical-documents/technical-article/microbiological-testing/pathogen-and-spoilage-testing/detection-of-campylobacter","url_not_found",2026-06-25,"Fabienke and Siegrist",NA,"Alistair Antonopoulos",2025-08-28,0.93,"DiagnosticTest","DiagnosticTest*183"
"Specificity","Sandwich Hybridisation","Campylobacter","Poultry",NA,NA,NA,NA,"Manufacturer Claim","Food",0.975,NA,NA,"Detection of Campylobacter spp. and Enterobacter Sakazakii in Food with a New Test Kit System","https://www.sigmaaldrich.com/BE/en/technical-documents/technical-article/microbiological-testing/pathogen-and-spoilage-testing/detection-of-campylobacter","url_not_found",2026-06-25,"Fabienke and Siegrist",NA,"Alistair Antonopoulos",2025-08-28,0.975,"DiagnosticTest","DiagnosticTest*184"
"Sensitivity","Culture (PB)","Campylobacter","Poultry",NA,NA,NA,NA,"Comparative","Pooled caecal samples",0.515,NA,NA,"Comparison of various culture methods with or without enrichment/resucitation and RT-PCR assay for detecting Campylobacter in UK broilers","10.1111/zph.12306","doi_invalid",2026-06-25,"Rodgers et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,0.515,"DiagnosticTest","DiagnosticTest*185"
