"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Basic reproduction number",NA,"Dimensionless","SLIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H5N2","Turkeys",NA,NA,NA,NA,NA,NA,NA,12.8,9.2,17.2,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1017/s0950268819000633","Ssematimba et al., 2019",2019,"AA/SL","Transmission","Transmission_253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.96,0.72,1.2,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.12692","Ssematimba et al., 2017",2017,"AA/SL","Transmission","Transmission_254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.96,0.86,1.07,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.12692","Ssematimba et al., 2017",2017,"AA/SL","Transmission","Transmission_255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.87,0.63,1.58,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.12692","Ssematimba et al., 2017",2017,"AA/SL","Transmission","Transmission_256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.89,0.57,0.97,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.12692","Ssematimba et al., 2017",2017,"AA/SL","Transmission","Transmission_257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.85,0.77,1.02,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.12692","Ssematimba et al., 2017",2017,"AA/SL","Transmission","Transmission_258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-farm","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.94,0.6,1.28,"Frequentist","GLM","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1111/tbed.12692","Ssematimba et al., 2017",2017,"AA/SL","Transmission","Transmission_259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Phylodynamic",NA,"Between-farm","Field","Avian Influenza","HPAI H5N2/H5N8","Poultry",NA,NA,NA,NA,NA,NA,NA,0.94,0.58,1.3,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1111/eva.12576","Grear et al., 2017",2017,"AA/SL","Transmission","Transmission_260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Phylodynamic",NA,"Between-farm","Field","Avian Influenza","HPAI H5N2/H5N8","Poultry",NA,NA,NA,NA,NA,NA,NA,0.9,0.48,1.34,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1111/eva.12576","Grear et al., 2017",2017,"AA/SL","Transmission","Transmission_261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Phylodynamic",NA,"Between-farm","Field","Avian Influenza","HPAI H5N2/H5N8","Poultry",NA,NA,NA,NA,NA,NA,NA,0.97,0.57,1.39,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1111/eva.12576","Grear et al., 2017",2017,"AA/SL","Transmission","Transmission_262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H5N1 (A/duck/France/05066b/2005)","Ducks","SPF Muscovy ducks",NA,"Three weeks",NA,"No","No",NA,14.9,7.2,30.8,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2013.10.020","Niqueux et al., 2014",2014,"AA/SL","Transmission","Transmission_263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H5N2 (A/chicken/France/03426/2003)","Ducks","SPF Muscovy ducks",NA,"Three weeks",NA,"No","No",NA,15.6,7.4,32.7,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2013.10.020","Niqueux et al., 2014",2014,"AA/SL","Transmission","Transmission_264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H5N3 (A/mallard/France/061054/2006)","Ducks","SPF Muscovy ducks",NA,"Three weeks",NA,"No","No",NA,5.5,2.7,11.3,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vetmic.2013.10.020","Niqueux et al., 2014",2014,"AA/SL","Transmission","Transmission_265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H7N1 (A/ostrich/Italy/984/00)","Turkeys",NA,NA,"Three weeks",NA,"No","No",NA,3.01,2.2,4,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0045059","Saenz et al., 2012",2012,"AA/SL","Transmission","Transmission_266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Experimental","Avian Influenza","LPAI H7N1 (A/chicken/Italy/1279/99)","Turkeys",NA,NA,"Three weeks",NA,"No","No",NA,15.3,11.8,19.7,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0045059","Saenz et al., 2012",2012,"AA/SL","Transmission","Transmission_267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Field","Avian Influenza","LPAI H7N1/H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,5.5,3.4,18.3,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0026935","Comin et al., 2011",2011,"AA/SL","Transmission","Transmission_268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Field","Avian Influenza","LPAI H7N1/H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,3.7,2.9,5.4,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0026935","Comin et al., 2011",2011,"AA/SL","Transmission","Transmission_269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Field","Avian Influenza","LPAI H7N1/H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,5.2,3.4,14.4,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0026935","Comin et al., 2011",2011,"AA/SL","Transmission","Transmission_270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Field","Avian Influenza","LPAI H7N1/H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,5.7,3.3,20.5,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0026935","Comin et al., 2011",2011,"AA/SL","Transmission","Transmission_271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Field","Avian Influenza","LPAI H7N1/H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,4.2,3.1,7.4,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0026935","Comin et al., 2011",2011,"AA/SL","Transmission","Transmission_272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Field","Avian Influenza","LPAI H7N1/H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,6.6,3.7,18.7,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0026935","Comin et al., 2011",2011,"AA/SL","Transmission","Transmission_273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Final Size",NA,"Within-farm","Field","Avian Influenza","LPAI H7N1/H7N3","Turkeys",NA,NA,NA,NA,NA,NA,NA,7,3.6,21.8,"Bayesian","MCMC","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0026935","Comin et al., 2011",2011,"AA/SL","Transmission","Transmission_274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Nearest Neighbor",NA,"Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.14,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1017/s0950268808000885","WARD et al., 2008",2008,"AA/SL","Transmission","Transmission_275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Nearest Neighbor",NA,"Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.95,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1017/s0950268808000885","WARD et al., 2008",2008,"AA/SL","Transmission","Transmission_276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Doubling Time",NA,"Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.21,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1017/s0950268808000885","WARD et al., 2008",2008,"AA/SL","Transmission","Transmission_277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675 and Lambert et al., 2023 Systematic Review https://doi.org/10.1186/s13567-023-01219-0","10.1017/s0950268808000885","WARD et al., 2008",2008,"AA/SL","Transmission","Transmission_278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Time Series",NA,"Between-farm","Field","Avian Influenza","HPAI H7N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.9,1.2,2.7,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0000349","Garske et al., 2007",2007,"AA/SL","Transmission","Transmission_279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Time Series",NA,"Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,1.1,0.9,1.5,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0000349","Garske et al., 2007",2007,"AA/SL","Transmission","Transmission_280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Time Series",NA,"Between-farm","Field","Avian Influenza","HPAI H7N7","Poultry",NA,NA,NA,NA,NA,NA,NA,1.9,1,3,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0000349","Garske et al., 2007",2007,"AA/SL","Transmission","Transmission_281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Time Series",NA,"Between-farm","Field","Avian Influenza","HPAI H7N3","Poultry",NA,NA,NA,NA,NA,NA,NA,2.4,1.4,3.6,"Frequentist","MLE","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1371/journal.pone.0000349","Garske et al., 2007",2007,"AA/SL","Transmission","Transmission_282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H7N7","Chickens, Turkeys","Chicken layers, Chicken breeders, Turkeys",NA,NA,NA,NA,NA,NA,18,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2008.12.003","Bos et al., 2009",2009,"AA/SL","Transmission","Transmission_283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Experimental","Avian Influenza","HPAI H7N7 (A/Chicken/Netherlands/621557/03)","Turkeys",NA,NA,"Twelve weeks",NA,"No","No",NA,7.8,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.vaccine.2008.09.022","Bos et al., 2008",2008,"AA/SL","Transmission","Transmission_284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H7N1","Turkeys",NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2010.04.006","Bos et al., 2010",2010,"AA/SL","Transmission","Transmission_285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Within-farm","Field","Avian Influenza","HPAI H7N1","Chickens","Broilers",NA,NA,NA,NA,NA,NA,2.4,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2010.04.006","Bos et al., 2010",2010,"AA/SL","Transmission","Transmission_286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Exponential Growth",NA,"Between-subdistrict","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.27,1.18,1.36,"Frequentist","Regression","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2012.01.021","Marquetoux et al., 2012",2012,"AA/SL","Transmission","Transmission_287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Exponential Growth",NA,"Between-subdistrict","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.31,1.23,1.39,"Frequentist","Regression","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2012.01.021","Marquetoux et al., 2012",2012,"AA/SL","Transmission","Transmission_288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Exponential Growth",NA,"Between-subdistrict","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.53,1.35,1.67,"Frequentist","Regression","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2012.01.021","Marquetoux et al., 2012",2012,"AA/SL","Transmission","Transmission_289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Exponential Growth",NA,"Between-subdistrict","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.6,1.44,1.75,"Frequentist","Regression","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1016/j.prevetmed.2012.01.021","Marquetoux et al., 2012",2012,"AA/SL","Transmission","Transmission_290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Nearest Neighbor",NA,"Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1038/srep02175","Pandit et al., 2013",2013,"AA/SL","Transmission","Transmission_291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","SIR","Frequency","Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,0.859,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1038/srep02175","Pandit et al., 2013",2013,"AA/SL","Transmission","Transmission_292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Basic reproduction number",NA,"Dimensionless","Doubling Time",NA,"Between-village","Field","Avian Influenza","HPAI H5N1","Poultry",NA,NA,NA,NA,NA,NA,NA,1.069,NA,NA,"Frequentist","Calculated","Parameters extracted from supplementary materials Kirkeby and Ward, 2022 Systematic Review https://doi.org/10.1111/tbed.14675","10.1038/srep02175","Pandit et al., 2013",2013,"AA/SL","Transmission","Transmission_293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
